Date,Open,High,Low,Close,Adj Close,Volume
1998-08-01,55.397781,58.395748,42.564972,42.945683,15.798517,2002462
1998-09-01,42.437737,48.790524,33.645622,38.117722,14.022446,2757980
1998-10-01,36.999447,40.887066,30.240105,37.965637,13.966495,3829184
1998-11-01,40.633587,46.757751,40.150494,44.521206,16.378105,2045085
1998-12-01,43.453625,44.521206,37.889095,40.963604,15.069366,2162233
1999-01-01,40.963604,47.215996,38.766815,42.563976,15.658097,2646372
1999-02-01,42.941704,42.941704,35.287743,35.536247,13.072793,2589388
1999-03-01,35.784756,37.424889,31.908072,36.947758,13.592047,2554578
1999-04-01,35.287743,44.233932,35.039238,39.263828,14.444063,3509616
1999-05-01,39.412930,40.506355,33.299702,33.299702,12.250030,2480617
1999-06-01,34.293724,38.717117,33.796711,36.082958,13.273914,3574555
1999-07-01,36.778774,37.076981,31.609865,32.405083,11.920921,4796142
1999-08-01,32.305679,33.985577,28.826607,33.548206,12.341446,2367056
1999-09-01,32.703289,34.591930,28.389238,29.522423,10.860473,2513654
1999-10-01,30.367340,33.399105,28.339537,32.285801,11.877044,2213867
1999-11-01,33.488567,33.697311,25.645741,25.943947,9.544052,4827541
1999-12-01,26.043348,33.289761,25.347534,31.063154,11.427264,5496696
2000-01-01,32.603886,32.603886,26.987669,28.428999,10.458236,3491807
2000-02-01,28.627804,28.826607,22.077206,23.379374,8.600617,4064690
2000-03-01,24.452915,27.733185,23.110987,26.152691,9.620842,4567118
2000-04-01,27.087070,27.126831,24.045366,24.651718,9.068678,1572610
2000-05-01,24.651718,29.025412,24.651718,27.236174,10.019426,2906744
2000-06-01,27.285875,28.130793,24.075188,24.592077,9.328282,1343079
2000-07-01,24.602018,28.379297,24.204411,28.081093,10.651739,2061258
2000-08-01,28.130793,30.894171,26.937967,28.836548,10.938297,2186051
2000-09-01,28.935949,31.609865,27.236174,31.301720,11.873387,1863508
2000-10-01,31.768909,34.134678,29.820627,34.134678,12.947985,4775422
2000-11-01,34.343426,35.337444,31.112856,32.653587,12.386179,8123245
2000-12-01,32.265919,34.790733,29.104933,31.510464,11.952569,4102143
2001-01-01,31.510464,34.253963,29.800749,31.659567,12.009126,3741365
2001-02-01,31.649628,36.669434,30.764948,35.754932,13.562586,5626868
2001-03-01,35.685352,38.766815,28.776905,31.510464,11.952569,9866686
2001-04-01,31.212257,34.293724,28.130793,34.184380,12.966840,3306427
2001-05-01,34.184380,39.253887,33.309643,37.176384,14.101771,5311269
2001-06-01,37.623692,39.760838,33.816593,36.172421,13.720942,5677158
2001-07-01,36.261883,37.275787,32.116817,35.277805,13.822637,2843125
2001-08-01,34.989536,35.436848,30.128775,31.560165,12.365982,2192765
2001-09-01,31.609865,33.399105,20.655754,26.212332,10.270578,6333113
2001-10-01,26.838566,29.920031,24.621899,28.230194,11.061224,3978697
2001-11-01,28.627804,36.043201,27.733185,32.782810,12.845039,2938539
2001-12-01,32.743050,35.585949,31.351421,34.641628,13.573365,2453429
2002-01-01,34.641628,36.679375,31.808670,36.599850,14.340640,2978056
2002-02-01,36.410988,36.917938,32.106876,35.784756,14.021268,3219564
2002-03-01,35.615772,40.506355,35.287743,40.257851,15.773926,6044066
2002-04-01,40.257851,40.257851,34.144619,35.576012,13.939482,3611866
2002-05-01,35.576012,39.343349,34.094917,37.921898,15.378268,3490845
2002-06-01,37.703217,37.703217,29.820627,32.703289,13.261989,3431131
2002-07-01,32.454784,33.697311,25.049328,33.418983,13.552220,5750867
2002-08-01,32.812634,34.591930,28.876308,32.703289,13.261989,3359503
2002-09-01,32.305679,32.802692,23.955906,26.540359,10.762771,3593717
2002-10-01,25.894245,30.605906,21.868462,27.584082,11.186026,4956998
2002-11-01,27.037371,30.108894,25.347534,29.512482,11.968037,4932383
2002-12-01,30.118835,30.605906,24.095068,24.850525,10.077498,3407454
2003-01-01,24.850525,28.329597,24.164648,28.329597,11.488351,4273120
2003-02-01,28.627804,29.313679,24.910166,27.037371,10.964321,3610651
2003-03-01,27.434978,27.703363,20.804857,21.808819,8.844013,7077898
2003-04-01,21.490732,25.546337,21.281988,22.713379,9.210835,4678188
2003-05-01,22.713379,23.498655,20.476831,21.619955,9.276116,5777284
2003-06-01,22.067265,26.331615,21.679598,25.953888,11.135605,4823089
2003-07-01,25.546337,26.749104,24.055307,26.550299,11.391497,4305163
2003-08-01,26.271975,30.456802,25.844545,30.118835,12.922588,4537678
2003-09-01,30.218237,31.361361,25.546337,26.480719,11.361643,4371149
2003-10-01,25.854485,30.267939,25.615919,29.114874,12.491833,4127308
2003-11-01,28.876308,30.267939,26.838566,27.275934,11.702831,6153053
2003-12-01,27.574141,29.323618,26.997608,28.578102,12.261530,2771951
2004-01-01,28.578102,28.896189,26.271975,27.265995,11.698567,4774506
2004-02-01,27.335575,27.514500,25.128849,25.556278,10.965009,5288466
2004-03-01,25.844545,26.609941,22.961884,23.906204,10.415860,5667781
2004-04-01,24.154709,26.550299,23.916143,24.860464,10.831628,6043446
2004-05-01,24.602018,25.327654,23.448954,23.955906,10.892031,3380367
2004-06-01,23.866444,24.602018,22.494694,23.617937,10.738369,4941337
2004-07-01,23.856503,23.856503,21.759117,22.991705,10.453638,4823155
2004-08-01,23.210388,23.439014,20.804857,21.669657,9.852543,3811237
2004-09-01,21.729298,22.862482,21.510612,21.778999,9.902255,3845395
2004-10-01,21.898281,25.685501,21.808819,25.029448,11.380139,7818920
2004-11-01,24.850525,26.003588,24.353514,24.492676,11.136086,3937697
2004-12-01,24.234232,25.099030,23.955906,24.264051,11.032139,2918552
2005-01-01,24.303812,27.305756,24.303812,27.305756,12.415110,5700670
2005-02-01,27.265995,28.538342,26.788864,27.504560,12.505500,3362634
2005-03-01,27.156652,28.071152,26.232212,27.653664,12.842400,3386677
2005-04-01,27.345516,27.623842,23.677580,24.204411,11.240561,3151889
2005-05-01,24.273991,26.222273,24.095068,26.013529,12.633008,3531440
2005-06-01,25.953888,29.323618,25.953888,29.144693,14.153603,4930807
2005-07-01,28.916069,34.641628,28.578102,33.856354,16.441734,6910981
2005-08-01,34.154560,34.174438,30.615845,31.997534,15.539031,4195867
2005-09-01,31.918013,38.965622,31.391182,37.752914,18.334028,15342665
2005-10-01,37.782738,39.830421,32.603886,33.697311,16.364498,7227864
2005-11-01,33.786774,34.830494,31.430943,32.355381,15.712810,6123897
2005-12-01,32.454784,33.796711,31.580046,32.305679,15.688676,5009045
2006-01-01,32.255981,35.963676,32.255981,35.247982,17.117556,6739982
2006-02-01,35.188343,43.836323,35.049179,42.981464,20.873186,11932164
2006-03-01,42.772720,45.327354,39.929821,45.019211,22.019854,8691894
2006-04-01,44.870106,47.881989,43.458595,43.736923,21.392656,5384017
2006-05-01,43.736923,44.681244,36.589912,39.045143,19.097809,6390778
2006-06-01,39.273769,39.681316,34.790733,39.263828,19.756870,4784192
2006-07-01,39.462631,42.216068,36.192303,41.689240,20.977289,6862036
2006-08-01,41.649479,45.426758,40.844322,44.074890,22.177713,9642524
2006-09-01,44.223991,47.375038,42.424812,46.371078,23.333113,9898893
2006-10-01,46.718987,53.180122,45.734905,51.440582,25.883997,19026006
2006-11-01,51.092678,57.315247,50.734829,52.086697,26.209110,71548364
2006-12-01,51.997234,56.351048,50.754711,56.211884,28.284834,34241347
2007-01-01,56.211884,57.633335,53.289463,56.460388,28.409872,60977738
2007-02-01,56.838120,67.593422,55.824219,66.251495,33.336586,112168449
2007-03-01,66.211739,83.994774,62.394695,76.569435,38.528393,187173177
2007-04-01,76.549553,77.533638,72.662933,74.094322,37.282959,20759376
2007-05-01,74.094322,75.545593,68.388641,72.742455,37.246681,12503723
2007-06-01,73.159943,77.126083,69.004936,76.688721,39.267323,9368302
2007-07-01,75.744400,82.891411,73.478027,82.553444,42.270267,8806555
